Player,Team,Opponent,Matchup Difficulty,Injury Status,YDS,TDS,REC,FL,FPTS
Breece Hall,NYJ,15.9,Neutral,,31.9,0.2,4.1,0.1,13.9
Bijan Robinson,ATL,15.3,Neutral,,33.3,0.2,4.0,0.1,13.8
Saquon Barkley,PHI,16.7,Neutral,,21.7,0.2,2.9,0.1,13.7
Jonathan Taylor,IND,17.8,Neutral,,17.7,0.1,2.3,0.1,13.5
Jahmyr Gibbs,DET,12.2,Neutral,,26.2,0.2,3.6,0.1,12.7
Kenneth Walker III,SEA,16.8,Neutral,,14.1,0.1,1.9,0.1,12.6
Kyren Williams,LAR,15.2,Neutral,,17.6,0.1,2.4,0.1,12.6
Josh Jacobs,GB,16.8,Neutral,,20.1,0.1,2.6,0.1,12.6
Rachaad White,TB,16.6,Neutral,,26.5,0.2,3.3,0.1,12.4
Derrick Henry,BAL,16.9,Neutral,,11.9,0.0,1.6,0.1,12.3
Alvin Kamara,NO,14.6,Neutral,,30.9,0.2,4.4,0.1,12.1
Joe Mixon,HOU,16.3,Neutral,,20.2,0.1,2.6,0.1,12.1
James Cook,BUF,14.7,Neutral,,24.1,0.2,3.0,0.1,12.0
De'Von Achane,MIA,11.2,Neutral,,23.5,0.2,3.1,0.1,11.9
Isiah Pacheco,KC,15.1,Neutral,,17.1,0.1,2.5,0.1,11.6
Travis Etienne Jr.,JAC,15.7,Neutral,,23.0,0.1,2.9,0.1,11.6
David Montgomery,DET,13.2,Neutral,,10.5,0.1,1.5,0.1,11.0
Christian McCaffrey,SF,10.4,Neutral,,20.7,0.2,2.6,0.1,11.0
Aaron Jones Sr.,MIN,12.8,Neutral,,19.6,0.1,2.6,0.1,10.5
James Conner,ARI,13.0,Neutral,,15.9,0.1,2.3,0.1,10.4
Jerome Ford,CLE,14.0,Neutral,,19.0,0.1,2.5,0.1,10.3
Raheem Mostert,LV,11.6,Neutral,,12.8,0.1,1.9,0.0,10.2
Rhamondre Stevenson,NE,13.9,Neutral,,19.4,0.1,2.7,0.1,9.8
Najee Harris,LAC,14.4,Neutral,,11.4,0.1,1.8,0.1,9.7
Zamir White,LV,14.5,Neutral,,13.6,0.0,1.9,0.1,9.6
Devin Singletary,NYG,14.1,Neutral,,13.8,0.1,2.2,0.1,9.5
Chuba Hubbard,CAR,14.9,Neutral,,14.7,0.0,2.0,0.1,9.4
D'Andre Swift,CHI,12.6,Neutral,,16.4,0.1,2.4,0.1,9.3
Javonte Williams,DAL,13.1,Neutral,,16.3,0.1,2.5,0.1,9.1
Tony Pollard,TEN,12.4,Neutral,,15.0,0.1,2.1,0.1,8.8
Zack Moss,CIN,11.7,Neutral,,13.5,0.1,1.9,0.0,8.8
Brian Robinson Jr.,WAS,12.6,Neutral,,13.8,0.1,1.7,0.1,8.7
Jordan Mason,MIN,8.8,Neutral,,7.0,0.1,1.0,0.0,7.7
Chase Brown,CIN,9.0,Neutral,,20.1,0.1,2.4,0.0,7.7
