Player,Team,Opponent,Matchup Difficulty,Injury Status,YDS,TDS,ATT,FL,FPTS
Dyami Brown,JAC,2.1,Neutral,,0.2,0.0,0.0,0.0,3.9
Greg Dortch,ARI,2.8,Neutral,,1.3,0.0,0.2,0.0,3.9
Jalen Tolbert,DAL,2.4,Neutral,,0.2,0.0,0.0,0.0,3.9
Tre Tucker,LV,2.1,Neutral,,2.6,0.0,0.4,0.0,3.7
Jonathan Mingo,DAL,2.3,Neutral,,0.3,0.0,0.0,0.0,3.6
Xavier Legette,CAR,2.1,Neutral,,0.8,0.0,0.2,0.0,3.6
Marvin Mims Jr.,DEN,2.1,Neutral,,1.4,0.0,0.4,0.1,3.6
Ray-Ray McCloud III,ATL,2.2,Neutral,,2.8,0.0,0.4,0.0,3.5
K.J. Osborn,WAS,2.2,Neutral,,0.1,0.0,0.0,0.0,3.4
Allen Lazard,NYJ,1.9,Neutral,,0.1,0.0,0.0,0.0,3.4
Elijah Moore,BUF,2.1,Neutral,,0.8,0.0,0.2,0.0,3.4
Van Jefferson,TEN,1.8,Neutral,,0.4,0.0,0.0,0.0,3.4
Kalif Raymond,DET,1.9,Neutral,,1.9,0.0,0.1,0.0,3.3
Jalen Nailor,MIN,2.0,Neutral,,0.0,0.0,0.0,0.0,3.3
Jahan Dotson,PHI,1.9,Neutral,,0.1,0.0,0.0,0.0,3.3
Cedrick Wilson Jr.,NO,1.8,Neutral,,0.2,0.0,0.0,0.0,3.2
Trey Palmer,TB,1.7,Neutral,,1.4,0.0,0.3,0.0,3.1
Justin Watson,HOU,1.6,Neutral,,0.0,0.0,0.0,0.0,3.0
A.T. Perry,DEN,1.2,Neutral,,0.1,0.0,0.0,0.0,3.0
Calvin Austin III,PIT,1.5,Neutral,,2.5,0.0,0.4,0.0,2.9
Jauan Jennings,SF,1.7,Neutral,,0.1,0.0,0.0,0.0,2.9
Braxton Berrios,HOU,2.0,Neutral,,0.4,0.0,0.0,0.0,2.8
Troy Franklin,DEN,1.8,Neutral,,0.0,0.0,0.0,0.0,2.7
Luke McCaffrey,WAS,1.7,Neutral,,0.2,0.0,0.0,0.0,2.6
Jermaine Burton,CIN,1.5,Neutral,,0.1,0.0,0.0,0.0,2.6
KaVontae Turpin,DAL,1.0,Neutral,,3.8,0.0,0.5,0.0,2.4
Treylon Burks,TEN,1.3,Neutral,,1.1,0.0,0.1,0.0,2.3
Mack Hollins,NE,1.2,Neutral,,0.2,0.0,0.0,0.0,2.3
Olamide Zaccheaus,CHI,1.3,Neutral,,0.2,0.0,0.0,0.0,2.2
Cedric Tillman,CLE,1.3,Neutral,,0.1,0.0,0.0,0.0,2.2
Roman Wilson,PIT,1.2,Neutral,,0.3,0.0,0.1,0.1,2.1
Charlie Jones,CIN,1.2,Neutral,,0.1,0.0,0.0,0.0,2.1
JuJu Smith-Schuster,KC,1.6,Neutral,,0.0,0.0,0.0,0.0,2.1
Tyquan Thornton,KC,1.2,Neutral,,0.6,0.0,0.1,0.0,2.0
Robert Woods,PIT,1.2,Neutral,,0.3,0.0,0.0,0.0,2.0
Ashton Dulin,IND,1.1,Neutral,,0.1,0.0,0.0,0.0,1.9
Jake Bobo,SEA,1.0,Neutral,,0.1,0.0,0.0,0.0,1.9
Xavier Gipson,NYJ,1.0,Neutral,,1.4,0.0,0.2,0.0,1.8
Tutu Atwell,LAR,0.8,Neutral,,0.9,0.0,0.2,0.0,1.8
Skyy Moore,KC,0.9,Neutral,,0.2,0.0,0.0,0.0,1.5
Derius Davis,LAC,0.7,Neutral,,2.4,0.0,0.4,0.0,1.4
KhaDarel Hodge,ATL,0.9,Neutral,,0.0,0.0,0.0,0.0,1.4
Parker Washington,JAC,0.9,Neutral,,0.2,0.0,0.0,0.0,1.4
Marquez Valdes-Scantling,SEA,0.6,Neutral,,0.1,0.0,0.0,0.0,1.4
Malachi Corley,NYJ,0.8,Neutral,,1.0,0.0,0.2,0.0,1.4
John Metchie III,HOU,1.0,Neutral,,0.4,0.0,0.1,0.0,1.3
Noah Brown,WAS,0.8,Neutral,,0.0,0.0,0.0,0.0,1.2
Brenden Rice,LAC,0.7,Neutral,,0.0,0.0,0.0,0.0,1.2
Bub Means,NO,0.7,Neutral,,0.0,0.0,0.0,0.0,1.2
Mecole Hardman Jr.,GB,0.6,Neutral,,1.2,0.0,0.2,0.0,1.1
Chris Moore,WAS,0.6,Neutral,,0.3,0.0,0.0,0.0,1.1
Kayshon Boutte,NE,0.6,Neutral,,0.1,0.0,0.0,0.0,0.9
Devaughn Vele,DEN,0.6,Neutral,,0.0,0.0,0.0,0.0,0.9
Trent Sherfield Sr.,DEN,0.6,Neutral,,0.1,0.0,0.0,0.0,0.9
Scotty Miller,PIT,0.6,Neutral,,0.1,0.0,0.0,0.0,0.9
Johnny Wilson,PHI,0.5,Neutral,,0.2,0.0,0.0,0.0,0.9
Anthony Gould,IND,0.5,Neutral,,0.0,0.0,0.0,0.0,0.8
David Moore,CAR,0.4,Neutral,,0.1,0.0,0.0,0.0,0.8
Jordan Whittington,LAR,0.5,Neutral,,0.0,0.0,0.0,0.0,0.7
Nick Westbrook-Ikhine,MIA,0.4,Neutral,,0.1,0.0,0.0,0.0,0.7
Jacob Cowing,SF,0.4,Neutral,,0.2,0.0,0.0,0.0,0.7
Simi Fehoko,ARI,0.4,Neutral,,0.0,0.0,0.0,0.0,0.7
Devin Duvernay,CHI,0.4,Neutral,,1.0,0.0,0.2,0.0,0.6
Jalen Brooks,DAL,0.6,Neutral,,0.0,0.0,0.0,0.0,0.6
Ronnie Bell,DET,0.3,Neutral,,0.1,0.0,0.0,0.0,0.6
Zay Jones,ARI,0.5,Neutral,,0.0,0.0,0.0,0.0,0.6
Jalen Reagor,LAC,0.3,Neutral,,0.0,0.0,0.0,0.0,0.5
Jha'Quan Jackson,TEN,0.3,Neutral,,0.0,0.0,0.0,0.0,0.5
Laviska Shenault Jr.,BUF,0.2,Neutral,,2.3,0.0,0.3,0.0,0.5
Zach Pascal,NYG,0.3,Neutral,,0.1,0.0,0.0,0.0,0.5
Velus Jones Jr.,NO,0.1,Neutral,,2.7,0.0,0.2,0.0,0.4
Dareke Young,SEA,0.2,Neutral,,0.0,0.0,0.0,0.0,0.4
Xavier Hutchinson,HOU,0.2,Neutral,,0.4,0.0,0.1,0.0,0.4
Ryan Flournoy,DAL,0.2,Neutral,,0.0,0.0,0.0,0.0,0.4
Isaiah Williams,CIN,0.2,Neutral,,0.0,0.0,0.0,0.0,0.4
Tim Jones,MIN,0.2,Neutral,,0.1,0.0,0.0,0.0,0.4
Bo Melton,GB,0.2,Neutral,,0.4,0.0,0.1,0.0,0.3
Britain Covey,LAR,0.2,Neutral,,0.0,0.0,0.0,0.0,0.3
Bryce Ford-Wheaton,NYG,0.2,Neutral,,0.0,0.0,0.0,0.0,0.3
Montrell Washington,NYG,0.2,Neutral,,0.0,0.0,0.0,0.0,0.3
Tylan Wallace,BAL,0.1,Neutral,,0.1,0.0,0.0,0.0,0.2
Tyler Johnson,NYJ,0.1,Neutral,,0.0,0.0,0.0,0.0,0.2
Jamari Thrash,CLE,0.1,Neutral,,0.0,0.0,0.0,0.0,0.2
DeAndre Carter,CLE,0.1,Neutral,,0.5,0.0,0.1,0.0,0.1
Cody White,SEA,0.1,Neutral,,0.0,0.0,0.0,0.0,0.1
Irvin Charles,NYJ,0.1,Neutral,,0.0,0.0,0.0,0.0,0.1
Jason Brownlee,KC,0.1,Neutral,,0.0,0.0,0.0,0.0,0.1
Kyle Philips,LV,0.1,Neutral,,0.0,0.0,0.0,0.0,0.1
Kristian Wilkerson,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.1
David Sills,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.1
Marquise Brown,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Josh Downs,IND,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne,NE,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ricky Pearsall,SF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Malik Washington,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Devontez Walker,BAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Javon Baker,NE,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Casey Washington,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
David Bell,CLE,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tyler Scott,CHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Kameron Johnson,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Mason Tipton,NO,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Malik Heath,GB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Trishton Jackson,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Steven Sims Jr.,SEA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Xavier Weaver,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dante Pettis,NO,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Malik Taylor,DET,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Rondale Moore,MIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Colton Dowell,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Rakim Jarrett,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ainias Smith,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tahj Washington,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jamal Agnew,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,IND,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Russell Gage Jr.,SF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Trent Taylor,SF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood,BAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Hunter Renfrow,CAR,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Gallup,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Parris Campbell,DAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Miles Boykin,CHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tim Patrick,DET,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Sterling Shepard,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Lil'Jordan Humphrey,NYG,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tom Kennedy,DET,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
KJ Hamler,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Quintez Cephus,LAR,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Donovan Peoples-Jones,NO,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Quez Watkins,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Collin Johnson,LV,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
James Proche II,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Isaiah Hodgins,SF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dan Chisena,CAR,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Terrace Marshall Jr.,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dee Eskridge,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dez Fitzpatrick,LAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette,NYG,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Strachan,WAS,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ben Skowronek,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Bandy,DEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Mason Kinsey,TEN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tarik Black,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
D.J. Montgomery,IND,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Cody Thompson,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Danny Gray,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Erik Ezukanma,MIA,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Michael Woods II,CLE,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Samori Toure,CHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Brandon Smith,NYJ,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Justyn Ross,KC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Lance McCutcheon,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Jalen Virgil,BUF,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Kendric Pryor,CIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Andre Baccellia,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Austin Trammell,JAC,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dennis Houston,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Brandon Johnson,PIT,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Johnny Johnson III,HOU,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Maurice Alexander,CHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Justin Shorter,LV,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Malik Cunningham,BAL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Mitchell Tinsley,CIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Elijah Cooks,PHI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Shedrick Jackson,LV,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Ryan Miller,TB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Lucky Jackson,MIN,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Chris Blair,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Dylan Drummond,ATL,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Cornelius Johnson,GB,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
Tejhaun Palmer,ARI,0.0,Neutral,,0.0,0.0,0.0,0.0,0.0
