Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Dante Pettis NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Taylor DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondale Moore MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colton Dowell TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakim Jarrett TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainias Smith PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tahj Washington MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Agnew ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Gage Jr. SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Taylor SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Renfrow CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Gallup WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parris Campbell DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles Boykin CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Patrick DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sterling Shepard TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lil'Jordan Humphrey NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Kennedy DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJ Hamler BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintez Cephus LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Peoples-Jones NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quez Watkins ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Johnson LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Proche II TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Hodgins SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Chisena CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrace Marshall Jr. PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dee Eskridge MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dez Fitzpatrick LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Strachan WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Skowronek PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Bandy DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Kinsey TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarik Black MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Montgomery IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Thompson TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Gray PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Ezukanma MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Woods II CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samori Toure CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Smith NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justyn Ross KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance McCutcheon PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Virgil BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendric Pryor CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Baccellia ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Trammell JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Houston TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Johnson PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Johnson III HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Alexander CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Shorter LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Cunningham BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Tinsley CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Cooks PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shedrick Jackson LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Miller TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucky Jackson MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Blair ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Drummond ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornelius Johnson GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tejhaun Palmer ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
